1,Iron Man,,,,
3,The Incredible Hulk,Iron Man,,,
2,Iron Man 2,Iron Man,,,
4,Thor,Iron Man 2,,,
5,Captain America: The First Avenger,,,,
7,The Avengers,The Incredible Hulk,Thor,Captain America: The First Avenger,
9,Iron Man 3,The Avengers,,,
8,Thor: The Dark World,The Avengers,,,
12,Captain America: The Winter Soldier,Iron Man 3,Thor: The Dark World,,
10,Guardians of the Galaxy,Thor: The Dark World,,,
13,Avengers: Age of Ultron,Captain America: The Winter Soldier,Guardians of the Galaxy,,
14,Ant-Man,Avengers: Age of Ultron,,,
15,Captain America: Civil War,Ant-Man,,,
18,Doctor Strange,Avengers: Age of Ultron,,,
11,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,,,
17,Spider-Man: Homecoming,Captain America: Civil War,,,
19,Thor: Ragnarok,Doctor Strange,,,
16,Black Panther,Captain America: Civil War,,,
20,Avengers: Infinity War,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther
21,Ant-Man and the Wasp,Captain America: Civil War,,,
6,Captain Marvel,Captain America: The First Avenger,,,
22,Avengers: Endgame,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,
23,Spider-Man: Far From Home,Avengers: Endgame,,,