Name,RT score,Release Date
Iron Man,94,20080502
The Incredible Hulk,67,20080613
Iron Man 2,73,20100507
Thor,77,20110506
Captain America: The First Avenger,80,20110722
The Avengers,92,20120504
Iron Man 3,79,20130503
Thor: The Dark World,66,20131108
Captain America: The Winter Soldier,90,20140404
Guardians of the Galaxy,91,20140801
Avengers: Age of Ultron,75,20150501
Ant-Man,83,20150717
Captain America: Civil War,91,20160516
Doctor Strange,89,20161104
Guardians of the Galaxy Vol. 2,85,20170505
Spider-Man: Homecoming,92,20170707
Thor: Ragnarok,93,20171103
Black Panther,97,20180216
Avengers: Infinity War,85,20180427
Ant-Man and the Wasp,88,20180706
Captain Marvel,78,20190308
Avengers: Endgame,94,20190426
Spider-Man: Far From Home,91,20190702
WandaVision,0,20210115