Name,RT score
Iron Man,94
The Incredible Hulk,67
Iron Man 2,73
Thor,77
Captain America: The First Avenger,80
The Avengers,92
Iron Man 3,79
Thor: The Dark World,66
Captain America: The Winter Soldier,90
Guardians of the Galaxy,91
Avengers: Age of Ultron,75
Ant-Man,83
Captain America: Civil War,91
Doctor Strange,89
Guardians of the Galaxy Vol. 2,85
Spider-Man: Homecoming,92
Thor: Ragnarok,93
Black Panther,97
Avengers: Infinity War,85
Ant-Man and the Wasp,88
Captain Marvel,78
Avengers: Endgame,94
Spider-Man: Far From Home,91